target,unit,identity,compiler_form,runtime_executor,placement,proof,scope,evidence
apple_cpu,op,matmul / gemm,generic JIT dispatch,Accelerate cblas_sgemm; BNNS for f16/bf16,native_cpu,native manifest + runtime execution,generic @jit,backend_manifest._APPLE_CPU_KERNELS
apple_cpu,op,batched_gemm (rank-3 f32),generic JIT dispatch,Accelerate cblas_sgemm loop,native_cpu,native manifest + runtime execution,generic @jit,backend_manifest._APPLE_CPU_KERNELS
apple_cpu,op,cholesky,Apple Value Target-IR cpu.call,LAPACK spotrf,native_cpu,executable value-call allowlist,strict single call,tests/unit/test_apple_value_target_ir.py
apple_cpu,op,tri_solve,Apple Value Target-IR cpu.call,LAPACK triangular solve,native_cpu,executable value-call allowlist,strict single call,tests/unit/test_apple_value_target_ir.py
apple_cpu,op,cholesky_solve,Apple Value Target-IR cpu.call,LAPACK solve,native_cpu,executable value-call allowlist,strict single call,tests/unit/test_apple_value_target_ir.py
apple_cpu,op,lu,Apple Value Target-IR cpu.call,LAPACK getrf,native_cpu,executable value-call allowlist,strict single call,tests/unit/test_apple_value_target_ir.py
apple_cpu,op,qr,Apple Value Target-IR cpu.call,LAPACK geqrf/orgqr,native_cpu,executable value-call allowlist,strict single call,tests/unit/test_apple_value_target_ir.py
apple_cpu,op,svd,Apple Value Target-IR cpu.call,LAPACK gesdd,native_cpu,executable value-call allowlist,strict single call,tests/unit/test_apple_value_target_ir.py
apple_gpu,op / fused region,"MPS, MPSGraph, MSL, MTL4 MPP lanes",generic JIT dispatch,Metal runtime,native_gpu,per-op proof in runtime execution matrix,generic @jit,runtime_execution_matrix.csv + apple_target_map.csv
apple_gpu,subgraph,MPSGraph authorable single-op region,package recognition + explicit authoring,MTL4 ML pipeline encoder,native_gpu,package lifecycle and numerical tests,AOT package; not auto launch,tests/unit/test_apple_package_author.py
apple_gpu,subgraph,matmul_softmax / matmul_softmax_matmul / rmsnorm_matmul,package recognition + explicit authoring,MTL4 ML pipeline encoder,native_gpu,package lifecycle and numerical tests,AOT package; package_call launch gated,tests/unit/test_apple_jit_emit_package.py
apple_gpu,op family,runtime.launch reference lanes,family executor,Tessera reference implementation,reference_cpu,execute-and-compare,explicit fallback,runtime_execution_matrix.csv
