schema,target,family,runtime_backend,current_driver_pipeline,declared_pipeline,resolution_state,target_scope,level_a,level_b,level_c,owner,reason
tessera.target_pipeline.v1,apple_cpu,apple,accelerate,tessera-lower-to-apple_cpu,tessera-lower-to-apple_cpu,declared_exact,host,native,partial,partial,apple,Canonical compilation packages the static single-result f32 BMM and linalg ABI scope; multi-result and unsupported contracts retain their explicit value/reference routes.
tessera.target_pipeline.v1,apple_gpu,apple,metal,tessera-lower-to-apple_gpu-runtime,tessera-lower-to-apple_gpu-runtime,declared_exact,exact_architecture,native,partial,partial,apple,"Canonical compilation promotes the statically packageable, fresh-runtime Apple ABI scope to native images and descriptors; unsupported, composite, and multi-result routes retain their explicit legacy state."
tessera.target_pipeline.v1,cpu,cpu,numpy,tessera-lower-to-x86,tessera-lower-to-x86,family_selector,host,native,partial,absent,shared_x86,The generic CPU frontend records the x86 lowering alias while runtime execution may remain reference-backed.
tessera.target_pipeline.v1,nvidia_sm100,nvidia,cuda,tessera-lower-to-gpu,tessera-lower-to-nvidia-sm100,declared_exact,exact_architecture,absent,partial,absent,nvidia,The exact SM100 Tile-to-NVVM builder is registered; native packaging and exact-device execution remain gated.
tessera.target_pipeline.v1,nvidia_sm120,nvidia,cuda,tessera-lower-to-gpu,tessera-lower-to-nvidia-sm120,declared_exact,exact_architecture,native,partial,absent,nvidia,The exact SM120 Tile-to-NVVM builder produces the compiler-owned f16/NVFP4 native-image slice.
tessera.target_pipeline.v1,nvidia_sm80,nvidia,cuda,tessera-lower-to-gpu,,unsupported_no_exact_pipeline,exact_architecture,absent,absent,absent,nvidia,No exact SM80 C++ pipeline is registered; the current driver retains its legacy artifact alias.
tessera.target_pipeline.v1,nvidia_sm90,nvidia,cuda,tessera-lower-to-gpu,tessera-lower-to-nvidia-sm90,declared_exact,exact_architecture,absent,partial,absent,nvidia,The exact SM90 Tile-to-NVVM builder is registered; canonical native-image packaging and exact-device proof are absent.
tessera.target_pipeline.v1,rocm,rocm,hip,tessera-lower-to-rocm,tessera-lower-to-rocm,family_selector,family_selector,native,partial,absent,rocm,The family pipeline lowers the typed GEMM subset; other native lanes still use runtime-authored directives.
tessera.target_pipeline.v1,rocm_gfx1100,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,absent,partial,absent,rocm,The ROCm pipeline is family-shared; the exact driver route remains artifact-only.
tessera.target_pipeline.v1,rocm_gfx1151,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,native,partial,absent,rocm,The family-shared pipeline now owns typed gfx1151 softmax and f32 arbitrary-axis reduction producers and HSACO packages; target-wide Level C remains absent while other families use legacy routes.
tessera.target_pipeline.v1,rocm_gfx1200,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,absent,partial,absent,rocm,The ROCm pipeline is family-shared and exact-device execution remains gated.
tessera.target_pipeline.v1,rocm_gfx1201,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,absent,partial,absent,rocm,The ROCm pipeline is family-shared and exact-device execution remains gated.
tessera.target_pipeline.v1,rocm_gfx1250,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,absent,partial,absent,rocm,The ROCm pipeline is family-shared and exact-device execution remains gated.
tessera.target_pipeline.v1,rocm_gfx90a,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,absent,partial,absent,rocm,The ROCm pipeline is family-shared and exact-device execution remains gated.
tessera.target_pipeline.v1,rocm_gfx940,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,absent,partial,absent,rocm,The ROCm pipeline is family-shared and exact-device execution remains gated.
tessera.target_pipeline.v1,rocm_gfx942,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,absent,partial,absent,rocm,The ROCm pipeline is family-shared and exact-device execution remains gated.
tessera.target_pipeline.v1,rocm_gfx950,rocm,hip,tessera-target-artifact,tessera-lower-to-rocm,declared_shared_builder,exact_architecture,absent,partial,absent,rocm,The ROCm pipeline is family-shared and exact-device execution remains gated.
tessera.target_pipeline.v1,x86,x86,native_cpu,tessera-lower-to-x86,tessera-lower-to-x86,declared_exact,host,native,partial,absent,x86,"X86-E2E-1 emits typed softmax, reduction, rank-2 f32 matmul, and basic/extended f32 MHA C-ABI calls, then packages the stable AVX-512 shared object with canonical launch descriptors; other families remain executor-owned."
